ce_1,ce_2
0.764520906,12.34375
0.70503726,12.25
3.455689825,7.4375
1.942238454,11.96875
-0.65200826,16.09375
-0.324279916,15.8125
-0.321245842,16.4375
2.769376942,9.65625
0.922098943,13.59375
0.898262298,16.4375
1.773755935,10.5
0.878559377,15.84375
0.958195669,14.359375
0.493763185,14.21875
0.736385893,14.34375
0.800816669,14.03125
2.254273757,12.375
4.73539638,7.4375
2.970529615,10.1953125
1.31212782,15.21875
3.056301217,11.6875
1.711130705,12.15625
-0.126350983,9.625
3.797101773,9.7421875
1.265924226,13.25
-0.38672921,16.9375
1.011299412,13.6875
0.611954705,15.125
-0.389166887,16.53125
-0.093073569,15.15625
3.676261064,7.5
1.178375696,15.8359375
1.413403443,12.21875
2.003086116,12.3984375
0.821111286,14.1875
-0.161279018,15.59375
0.228724174,11.65625
0.474648446,16.8125
0.853869344,16.78125
0.115273599,15.953125
2.476385877,13.6875
0.177269946,14.2421875
1.56178527,12.625
-0.212452042,13.875
3.353758801,9.515625
-0.278244226,15.53125
3.198561186,9.03125
5.830557429,6.46875
0.065031597,15.875
1.208464913,14.59375
1.354260359,13.7421875
-0.445548662,15.859375
3.300275316,11.1875
2.997211618,5.7578125
0.066661641,16.03125
4.322635805,8.25
0.712898315,14.34375
1.613759317,12.1875
1.291744093,11.78125
0.406683239,15.125
0.733009374,13
2.029005257,12.3125
0.781993096,11.921875
1.513564213,15.140625
-0.343482807,15.21875
0.432764864,14.234375
0.485338766,15.8125
1.837876313,11.8125
1.681580483,13.2265625
0.158519613,15.6875
-0.584878662,15.59375
0.870208451,13.84375
0.702864601,14.40625
0.025944247,15.265625
1.337277995,14.765625
1.041437537,16.625
5.048666775,7.1875
-0.399280926,17.65625
0.992248872,14.328125
3.020519307,10.953125
2.002420926,12.21875
6.062337993,6
-0.194255827,17.3125
1.090925612,15.125
2.418992496,12.75
-0.218632087,16.5625
7.305128542,3.4375
-0.062896568,15.75
-0.083002126,15.546875
-0.447270273,13.1875
1.215312466,14.0625
-0.591703349,17
1.359825014,12.859375
0.92262692,15.1015625
1.666518365,12.53125
0.062507873,16.28125
3.352650948,10.5
0.82182259,14.75
-0.614383066,16.4375
0.066522712,14.59375
-0.468575415,16.484375
1.754604849,11.96875
1.222423527,12.53125
-0.669756098,17.265625
0.77217367,14.71875
4.017356217,6.7734375
0.494829988,15.90625
0.853221486,14.125
2.500456217,12.71875
1.445135559,13.90625
0.994303488,14.6875
1.698310475,14.5546875
0.107860226,16
1.859251942,10.84375
0.253603913,15.53125
-0.102986971,16.28125
2.584257293,10.0625
1.578823992,13.6875
1.155086309,11.390625
-0.175596953,15.53125
3.221390328,7.53125
0.602020614,15.3125
1.037586894,16.6875
1.318953184,13.46875
0.675856843,13.75
0.077432197,16.109375
3.389423113,9.0625
2.740519886,9.78125
1.316080514,11.3203125
0.48339643,13.9375
0.135538243,17.125
-0.087887714,15.65625
0.150997385,15.59375
0.167302815,15.96875
3.08769227,12.28125
0.427085101,15.0625
0.227444039,15.9375
-0.9039789,16.5
1.058077747,14.75
0.96761852,14.5625
1.649430536,12.75
0.679058964,17.03125
2.874917897,8.0625
1.859521242,9.8515625
2.695962822,12.3125
5.695094763,6.4375
0.430483254,13.4375
