ce_1,ce_2
0.310291812,12.21875
0.98819952,12.171875
3.19262965,8.59375
1.525101907,12.5
-0.429016519,16.4375
0.101440168,16
-0.079991684,16.8125
2.515316384,11.25
0.187947886,13.625
1.421524596,15.875
1.83657437,11.4140625
1.290321879,15.51171875
1.103891338,14.5625
0.596901369,14.1875
1.066521785,14.125
0.914133337,14.4375
1.821047514,12.65625
3.689542759,8.84375
3.03480923,10.8125
1.87425564,14.625
3.198539934,12.140625
1.516011409,12.53125
0.278548035,9.28125
3.766078546,10.3671875
1.156848451,13.3125
0.039041581,16.53125
1.241348823,13.8125
0.442659409,15.21875
0.002916226,16.21875
-0.029897138,14.90625
3.586897127,8.421875
1.544251392,15.125
1.358056886,12.703125
1.599922232,13.125
0.829722571,14.140625
0.239941963,15.65625
0.144948348,11.59375
0.230546891,16.375
1.113988688,16.53125
0.089922198,15.71875
2.495740503,13.79296875
0.510789892,14.375
1.467320539,13.625
-0.581154084,13.75
2.676267602,10.84375
-0.165863452,15.5
3.068997372,9.875
5.098614857,6.0625
0.036313194,15.6875
1.229429826,14.8125
1.521020717,13.546875
-0.172347324,15.875
2.631800632,11.5
2.806923236,6.9375
0.758323282,15.71875
3.30152161,9.9375
0.73829663,14.875
1.586893633,13.09375
1.145988186,13.0625
0.453991478,15.3125
0.966018748,12.5625
1.956448013,12.76171875
0.251486191,12.0625
1.683378426,14.75
-0.358840614,15.34375
0.506154727,14.46875
0.642552532,15.765625
1.707002626,12.59375
1.691285965,13.4375
0.410789226,15.6875
-0.263507324,15.7421875
0.771666903,13.609375
0.655729202,14.4375
0.176888493,15.21875
0.98705599,14.859375
1.332875074,16.21875
4.40983355,7
-0.673561852,16.875
1.171997744,14.1875
3.166038613,11.390625
1.973591851,12.890625
5.187175985,5.28125
0.330238347,17.125
1.236538723,14.953125
2.556734991,13.65625
-0.140389174,16.484375
6.485257084,2.5
0.350769365,15.6015625
0.021495748,15.3828125
-0.113290546,13.0625
1.211874931,14.671875
-0.300594198,16.7890625
1.625900027,12.828125
0.65775384,15.3125
1.59084923,13.3828125
0.171890745,15.796875
3.486551895,11.1875
0.92489518,15.0625
-0.556891132,16.203125
0.359607923,14.359375
-0.12465083,15.9375
1.813897197,12.5546875
1.319847054,13.1875
-0.519199695,15.859375
0.85684734,15.0625
3.659712434,6.375
0.645909976,15.8671875
0.878317972,14.90625
2.532162433,13.03125
2.015271118,13.625
0.894856975,15.46875
2.02162095,14.078125
0.340720453,16.2578125
2.011472633,11.35546875
0.538457825,15.3125
-0.096598941,16.078125
2.246639586,11.203125
2.032647983,13.8125
1.310172618,11.28125
-0.023068907,15.828125
2.880280656,9.1875
0.860291227,15.21875
1.309548788,15.75
1.356656367,12.9375
1.601713686,14
0.397051894,15.9140625
3.247596225,9.90625
2.231039771,11.3125
1.288411027,11.28125
0.716792859,14.59375
0.349201485,16.59375
0.289068321,15.57421875
0.48168227,15.359375
0.022105629,16.25
3.23788454,12.5
0.635420202,15.2421875
0.423638078,16.1171875
-0.526707799,16.3125
1.006780493,15.296875
0.68523704,14.625
1.675814196,13.34765625
1.076867928,16.46875
2.656085793,8.82421875
2.015917484,9.90625
1.954425643,13.0625
5.124564526,5.359375
0.579716508,13.875
0.055661416,16.453125
1.435720831,12.796875
-0.378860297,4.96875
0.917296539,15.8125
0.013832895,15.5625
0.951165935,12.4375
1.281268716,13.34375
0.639479081,14.66210938
1.378377902,15.875
1.813117074,15.09375
1.593822541,13.59375
1.309096469,13.671875
2.571676187,10.78125
1.271191234,15.96875
1.730546613,13.8125
1.829349013,13.84375
2.698473496,12.265625
0.99703114,16.53125
0.21402397,11.3125
0.399538572,15.78125
0.368531612,14.90625
2.235873681,13.40625
3.262911926,9.4375
0.163269336,13.5625
0.799259205,14.984375
-0.436481698,16.40625
1.875253394,10.96875
0.854503141,15.28125
-0.248602905,12.375
1.696306235,12.03125
0.441766243,15.109375
3.971647977,8
0.274639728,14.75
-0.225564331,16.4453125
0.359286452,11.9375
0.188135528,15.296875
2.091111809,11.890625
3.377743221,6.859375
0.308762401,15.421875
0.895155333,14.125
0.269176562,16.8125
2.751081716,10.625
-1.216727343,2.5
1.009454147,15.9375
2.358167141,11.390625
1.766100574,11.62890625
2.077830354,12.28125
7.996709138,-0.25
1.107121847,15.5
2.911690245,11.4375
0.232696364,15.65625
0.38196415,15.3125
3.602584146,10.53125
1.212725823,15.4375
0.935408395,12.546875
4.072331688,10.671875
1.130181838,14.546875
2.812639155,10.90625
1.795301848,12.30859375
0.349334351,17.125
0.239385225,17.203125
2.138120267,13.25
4.713437598,7.59375
0.406613381,15.828125
1.869486218,11.6875
0.359303173,15.3046875
2.029116526,14.34375
0.011394729,16.25
1.141088536,12.25
-0.447413584,16.3125
0.239478241,16.0625
2.045822009,12.6953125
1.261920585,15.75
1.260650865,12.71875
1.16654295,14.5625
0.079215745,15.8046875
1.222613183,10.96875
2.302448639,11.375
2.109949643,10.125
1.559671952,12.90625
0.862446477,14.78125
1.942522645,9.71875
0.154270911,17
0.499342871,15.953125
3.149246239,9.3125
1.256729222,12.671875
1.633984689,13.46875
1.167325968,16.5625
